CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
95337,"$25,000 under $50,000",3118,1119,1962,7589,2913,113776,2709,90278,906,675,219,360,181,221,386,5569,39,176,35,180,1736,526,8549,604,5879,364,2192,**,**,929,17023,588,1129,302,367,776,1983,926,3786,763,8139,701,1240,2901,52125,1431,1364,63,49,1009,933,136,74,864,1408,742,1271,583,975,**,**,2124,5099,2357,6091,499,820,2591,7149
95337,"$50,000 under $75,000",1961,1128,1311,5405,2178,121045,1808,100469,962,604,210,228,174,121,283,2407,27,165,152,142,1654,390,8481,393,3809,278,3710,**,**,1156,23891,927,2687,211,358,1011,2670,1156,6188,987,11748,958,1933,1947,69770,1020,1732,62,80,809,1329,100,54,215,292,0,0,0,0,**,**,1735,7988,1779,8553,422,871,1535,5019
95337,"$75,000 under $100,000",1372,1082,904,4201,1692,119292,1285,100598,839,474,215,249,182,108,211,2684,**,178,346,121,2093,297,7919,277,2721,159,2536,32,718,1038,25403,925,3900,99,214,944,2864,1038,7529,931,12401,877,2097,1372,74881,795,1583,60,115,627,1182,101,58,37,49,0,0,0,0,**,**,1337,9273,1348,9929,325,992,1046,4001
95337,"$100,000 under $200,000",1637,1414,1097,5213,2110,216034,1570,185870,1195,1124,339,343,294,238,262,3973,27,288,2651,128,3343,407,12165,283,2749,146,2570,**,**,1501,47983,1448,11682,48,151,1378,4624,1501,17181,1354,21704,1333,4385,1635,147596,817,1309,110,173,499,742,168,98,**,**,0,0,0,0,122,286,1633,24277,1634,25217,506,2671,1128,5329
95337,"$200,000 or more",195,170,152,569,202,64802,173,33290,163,1142,70,1100,61,1031,45,3404,**,69,6402,23,1302,55,3702,28,293,26,547,**,**,194,12155,186,4975,**,**,186,799,193,5915,170,3403,173,1265,193,50647,39,44,**,**,0,0,**,**,0,0,0,0,0,0,143,832,194,12637,194,13011,102,1565,92,1409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95338,,"4,581","2,158","2,448","8,986","2,360","210,796","3,248","124,396","2,146","4,038",896,"3,947",766,"2,632",885,"11,478",84,709,"4,518",589,"8,053","1,385","34,583",670,"5,083",944,"10,042",29,426,"1,605","35,228","1,056","5,325",496,625,"1,455","3,860","1,600","10,481","1,228","13,618","1,267","3,460","3,427","126,216","1,209","1,330",163,181,612,774,126,47,504,627,813,"1,640",678,"1,366",68,320,"3,086","18,398","3,403","20,256",968,"2,639","3,366","8,071"
95338,"$1 under $25,000",1918,443,914,2965,736,23776,1245,13592,562,831,244,440,190,215,332,2253,32,201,-34,186,1180,400,4049,296,1707,98,148,**,**,227,3862,39,40,159,110,192,524,222,706,128,1228,140,240,829,4634,187,64,**,**,63,20,**,**,318,356,597,1268,513,1088,0,0,686,419,926,793,242,127,1444,2665
95338,"$25,000 under $50,000",1152,514,607,2304,629,41383,833,25095,504,780,198,445,171,253,218,2364,**,156,192,138,1282,362,7723,211,1938,329,1869,**,**,342,5883,158,346,171,186,296,620,342,1267,236,2232,266,593,1089,20243,395,327,44,28,224,213,81,30,161,238,216,372,165,278,**,**,923,2099,986,2492,227,315,914,2085
95338,"$50,000 under $75,000",630,432,378,1435,369,38432,456,22164,393,677,161,542,141,321,135,1076,29,114,339,109,1495,271,8043,95,861,237,3056,**,**,333,6229,217,566,108,169,299,694,333,1564,261,2595,263,666,628,23824,250,338,48,42,139,236,**,**,25,33,0,0,0,0,0,0,600,2883,613,3148,206,381,423,1016
95338,"$75,000 under $100,000",420,357,230,1058,276,36288,331,23188,309,698,125,482,111,302,86,1075,**,89,291,84,1706,159,5973,47,391,145,2471,29,426,303,6468,263,1013,58,160,285,710,303,1973,263,2891,248,673,420,24556,188,281,28,33,111,190,21,9,**,**,0,0,0,0,0,0,417,3216,418,3429,115,312,303,914
95338,"$100,000 under $200,000",397,356,269,1066,312,50375,338,33044,320,583,126,752,114,475,93,2549,23,109,1048,72,2390,171,7386,21,186,108,1946,**,**,338,9387,322,2223,**,**,324,947,338,3413,293,3698,292,892,397,36426,164,254,43,78,75,115,24,8,0,0,0,0,0,0,22,40,396,5904,396,6324,148,715,248,1055
95338,"$200,000 or more",64,56,50,158,38,20542,45,7313,58,469,42,1286,39,1066,21,2161,**,40,2682,**,**,22,1409,**,**,27,552,**,**,62,3399,57,1137,**,**,59,365,62,1558,47,974,58,396,64,16533,25,66,**,**,0,0,**,**,0,0,0,0,0,0,46,280,64,3877,64,4070,30,789,34,336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95340,,"13,775","5,047","7,434","29,287","9,911","676,036","11,461","457,502","5,061","9,933","1,903","8,277","1,672","6,338","1,821","36,691",122,"1,503","6,854","1,096","16,280","2,584","75,497","1,868","14,267","1,695","20,172",94,"2,219","4,090","101,766","3,168","22,863",808,"1,082","3,698","8,693","4,084","34,468","3,262","36,593","3,486","14,331","10,388","415,512","4,146","4,906",350,348,"2,438","2,966",470,248,"2,417","3,072","3,205","7,083","2,854","6,295",291,"2,118","9,082","69,746","9,810","75,271","2,281","8,542","11,119","33,172"
95340,"$1 under $25,000",6344,845,2813,10654,3343,80689,5221,63056,954,860,371,636,316,336,654,4501,20,296,-222,221,1135,590,5618,888,5856,160,282,**,**,345,5337,84,127,220,188,271,476,342,880,208,1847,230,368,3141,17066,707,225,**,**,312,103,35,11,1585,1855,2348,5566,2159,5020,0,0,2620,1561,3153,2339,460,256,5543,12755
95340,"$25,000 under $50,000",3125,1067,1771,7203,2691,111445,2660,85905,1052,849,283,645,247,424,358,3552,23,220,1,229,1801,604,11302,520,4374,510,2985,22,207,725,11591,419,781,274,275,635,1027,724,2318,574,4775,569,1060,2961,54212,1383,1283,85,56,954,927,108,52,734,1094,857,1517,695,1275,0,0,2285,5382,2442,6135,477,671,2634,7399
95340,"$50,000 under $75,000",1653,938,1023,4083,1423,101966,1367,74218,956,902,319,595,281,344,268,2827,35,226,209,208,2183,471,14460,232,1989,366,4652,**,**,857,15478,672,1919,166,254,759,1311,856,3841,688,6641,726,1818,1644,63774,782,1203,85,78,537,877,102,52,98,123,0,0,0,0,**,**,1555,7845,1588,8458,428,925,1218,3331
95340,"$75,000 under $100,000",1091,833,705,2920,969,94311,890,65236,774,1262,305,1013,273,769,184,2229,**,222,523,180,2811,386,14821,129,1252,300,5076,**,**,745,15953,648,2644,84,191,681,1423,744,4599,613,6659,646,2136,1085,63900,537,943,68,80,352,636,92,50,**,**,0,0,0,0,**,**,1074,8409,1074,8889,333,843,754,2549
95340,"$100,000 under $200,000",1257,1095,860,3565,1198,167230,1065,114609,1036,1658,436,1546,386,1152,267,9957,44,351,1163,208,5581,447,24046,99,796,292,5578,42,890,1122,32448,1064,8376,64,174,1071,2788,1122,11908,954,12483,1034,4823,1254,120308,588,853,89,90,283,423,133,83,**,**,0,0,0,0,69,150,1244,20288,1249,21975,429,2286,821,3895
95340,"$200,000 or more",305,269,262,862,287,120395,258,54478,289,4402,189,3842,169,3313,90,13625,**,188,5180,50,2769,86,5250,**,**,67,1599,30,1122,296,20959,281,9016,**,**,281,1668,296,10922,225,4188,281,4126,303,96252,149,399,23,44,0,0,**,**,0,0,0,0,0,0,222,1968,304,26261,304,27475,154,3561,149,3243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95341,,"11,674","3,438","6,595","29,575","11,964","308,815","10,648","256,353","1,910","1,550",365,679,296,413,"1,048","9,623",121,283,"4,232",238,"2,436",881,"14,467","1,930","13,487",437,"3,970",0,0,"1,344","25,587",933,"3,720",359,464,"1,155","2,013","1,341","6,828","1,126","11,237",977,"2,268","7,370","126,419","3,219","3,206",68,49,"2,445","2,407",285,156,"4,478","6,409","3,759","9,740","3,526","8,934",26,145,"5,473","14,065","6,171","16,045",899,"2,398","10,560","30,764"
95341,"$1 under $25,000",7540,1206,3870,16583,6224,103022,6804,88541,563,296,105,109,82,37,626,4489,37,73,-19,67,308,339,2997,1090,6441,64,88,0,0,172,2468,58,63,95,135,137,192,170,425,127,1143,87,193,3514,17515,864,268,**,**,557,159,36,11,3120,4050,2726,7668,2600,7090,**,**,2772,1547,3301,2288,310,214,7026,18652
95341,"$25,000 under $50,000",2755,1191,1777,8566,3861,94588,2590,82372,613,204,81,113,61,37,241,1848,35,66,93,60,480,255,3771,588,5024,177,966,0,0,435,6565,242,358,175,186,369,554,434,1291,369,3123,297,491,2482,37154,1550,1373,27,15,1233,1084,121,67,1239,2199,1033,2072,926,1844,0,0,1449,3052,1597,3457,249,341,2498,8504
95341,"$50,000 under $75,000",842,577,566,2765,1243,50804,774,42714,395,381,68,87,61,66,99,846,**,58,180,50,530,153,3221,164,1297,110,1430,0,0,359,6404,284,771,64,96,317,524,359,1594,305,3021,276,608,840,29280,541,965,41,34,454,787,76,47,119,160,0,0,0,0,**,**,725,2927,743,3191,164,392,677,2084
95341,"$75,000 under $100,000",323,273,222,1030,416,27702,294,22757,181,112,51,144,45,116,38,403,21,32,50,29,376,73,2321,64,507,46,745,0,0,203,4379,183,737,25,47,177,339,203,1220,184,2044,163,307,322,18262,162,350,**,**,140,280,28,16,**,**,0,0,0,0,**,**,315,2257,317,2385,97,248,226,751
95341,"$100,000 under $200,000",191,171,138,569,220,24026,186,19969,137,236,60,226,47,157,44,2037,28,54,3928,32,742,61,2157,24,218,40,741,0,0,155,4428,166,1791,**,**,155,404,155,1532,141,1906,134,416,189,17140,102,250,**,**,61,97,24,15,0,0,0,0,0,0,26,145,189,2726,190,3039,79,1203,133,773
95341,"$200,000 or more",23,20,22,62,**,8673,**,**,21,321,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,20,1343,**,**,**,**,**,**,20,766,**,**,20,253,23,7068,**,**,0,0,0,0,0,0,0,0,0,0,0,0,**,**,23,1556,23,1685,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95345,,349,133,174,693,168,"14,001",277,"9,614",161,237,59,415,53,152,52,488,0,42,17,32,595,84,"1,864",57,392,53,514,0,0,94,"1,682",68,257,23,55,85,202,94,542,73,685,65,120,264,"8,329",93,94,0,0,46,51,0,0,57,90,61,92,53,81,0,0,239,"1,128",257,"1,221",56,167,279,594
95345,"$1 under $25,000",151,24,67,248,53,1907,114,1254,42,62,**,**,**,**,32,220,0,21,12,**,**,26,190,25,166,24,112,0,0,**,**,**,**,23,55,**,**,**,**,**,**,**,**,71,410,**,**,0,0,24,19,0,0,57,90,61,92,53,81,0,0,61,35,75,55,**,**,126,209
95345,"$25,000 under $50,000",97,37,47,210,53,3655,81,2714,39,32,36,149,31,77,**,**,0,**,**,**,**,35,823,32,226,**,**,0,0,51,778,30,63,**,**,44,101,51,215,39,320,32,57,92,1976,59,49,0,0,**,**,0,0,**,**,**,**,**,**,0,0,79,223,82,248,33,41,87,194
95345,"$50,000 under $75,000",42,25,40,87,20,2460,33,1706,28,39,**,**,**,**,20,268,0,**,**,32,595,**,**,**,**,29,402,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,42,1577,**,**,0,0,22,32,0,0,**,**,0,0,0,0,0,0,41,197,41,213,**,**,30,65
95345,"$75,000 under $100,000",35,25,**,86,42,2968,29,2135,32,79,23,266,22,75,**,**,0,21,5,**,**,23,851,**,**,**,**,0,0,43,904,38,194,**,**,41,101,43,327,34,365,33,63,35,2056,34,45,0,0,**,**,0,0,**,**,0,0,0,0,0,0,34,282,35,289,23,126,36,126
95345,"$100,000 under $200,000",24,22,20,62,**,3011,20,1805,20,25,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,24,2310,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,24,391,24,416,**,**,**,**
95345,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95346,,586,276,367,"1,080",225,"27,742",437,"16,626",273,412,132,479,110,258,131,"1,480",0,102,738,82,"1,083",165,"4,652",105,857,124,"1,244",0,0,224,"6,111",152,768,67,77,202,500,223,"1,433",174,"1,855",189,"1,014",459,"16,498",144,117,0,0,61,76,0,0,46,54,101,172,80,147,0,0,418,"2,411",462,"2,709",153,441,409,997
95346,"$1 under $25,000",211,54,125,324,70,2548,141,1422,57,92,28,86,23,51,50,344,0,24,-25,**,**,43,318,39,234,**,**,0,0,22,1205,**,**,**,**,**,**,21,56,**,**,**,**,91,564,20,5,0,0,**,**,0,0,24,27,75,129,60,109,0,0,76,54,112,109,34,20,156,248
95346,"$25,000 under $50,000",169,74,95,319,76,6184,135,4148,70,99,30,65,24,41,35,185,0,40,14,54,351,41,790,35,330,65,355,0,0,58,1027,27,42,67,77,70,133,58,196,60,565,59,131,162,3067,57,42,0,0,32,28,0,0,22,27,26,43,20,38,0,0,140,327,145,383,43,63,124,258
95346,"$50,000 under $75,000",85,56,60,176,34,5210,68,3038,56,133,25,110,22,52,21,333,0,**,**,**,**,35,1095,31,293,29,398,0,0,47,883,36,95,**,**,42,98,47,223,36,296,45,206,85,3321,29,36,0,0,29,48,0,0,**,**,0,0,0,0,0,0,83,426,85,496,32,58,53,148
95346,"$75,000 under $100,000",67,53,46,142,22,5768,47,3026,49,27,23,37,20,23,25,618,0,38,749,28,732,46,2449,**,**,30,491,0,0,49,1102,42,176,**,**,46,117,49,326,39,397,45,209,67,3911,38,34,0,0,**,**,0,0,0,0,0,0,0,0,0,0,66,548,66,596,44,300,41,132
95346,"$100,000 under $200,000",54,39,41,119,23,8032,46,4992,41,61,26,181,21,91,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,48,1894,47,455,**,**,44,152,48,632,39,597,40,468,54,5635,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,53,1056,54,1125,**,**,35,211
95346,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95348,,"11,619","3,608","5,811","25,308","9,267","431,548","10,214","343,757","3,214","3,160",843,"2,227",694,"1,334","1,222","13,294",55,664,"2,784",572,"6,642","1,528","33,928","1,678","12,973",844,"8,611",22,529,"2,767","57,660","2,059","9,965",595,695,"2,367","5,094","2,757","17,026","2,222","23,050","2,180","6,099","8,702","234,323","3,566","4,085",139,128,"2,377","2,843",437,235,"2,476","3,276","3,109","7,268","2,822","6,566",110,470,"7,340","32,133","8,022","34,674","1,495","4,059","9,892","28,318"
95348,"$1 under $25,000",6096,698,2487,10250,3170,79383,5235,64998,697,649,209,345,179,153,569,3860,**,161,446,155,874,431,3996,791,5135,111,181,22,529,308,4341,61,78,193,131,220,395,300,723,184,1557,183,298,3350,17542,704,251,**,**,295,101,45,13,1555,1775,2224,5659,2073,5177,**,**,2826,1582,3332,2285,376,222,5504,13530
95348,"$25,000 under $50,000",2712,946,1566,6974,2923,96972,2428,79545,827,618,173,407,136,196,251,1837,34,132,-63,159,1325,391,6762,524,4927,299,1756,**,**,622,9784,365,588,228,246,535,1004,620,2049,513,4480,442,756,2550,44501,1375,1291,31,18,1012,937,140,77,799,1327,885,1609,749,1389,**,**,1836,4133,1984,4626,371,470,2334,7155
95348,"$50,000 under $75,000",1344,788,798,3702,1488,82295,1217,68212,685,623,150,271,114,124,174,1476,**,124,453,96,1023,281,6801,205,1493,192,2310,**,**,673,12297,549,1572,112,172,586,1105,673,3118,561,5449,527,1183,1338,49896,717,1203,39,37,568,931,106,61,122,174,0,0,0,0,**,**,1229,5764,1254,6126,315,592,1025,3005
95348,"$75,000 under $100,000",729,544,454,2162,849,63001,667,52130,460,448,116,389,102,293,100,718,21,88,120,65,1038,193,5431,95,848,110,1877,**,**,521,11314,463,2002,62,146,447,943,521,3322,425,4596,452,1359,727,41567,414,786,30,25,311,579,63,37,**,**,0,0,0,0,**,**,712,5350,716,5583,162,467,565,2088
95348,"$100,000 under $200,000",662,565,447,2003,765,85602,602,66139,479,659,160,513,130,329,107,2884,**,133,506,97,2382,211,9478,63,570,132,2487,**,**,570,16121,551,4117,**,**,511,1323,570,5824,480,6010,510,1961,661,61084,329,509,39,48,191,295,83,47,**,**,0,0,0,0,58,152,661,10223,660,10718,227,1141,433,2088
95348,"$200,000 or more",76,67,59,217,72,24295,65,12733,66,163,35,302,33,239,21,2519,**,26,1322,**,**,21,1460,**,**,**,**,**,**,73,3803,70,1608,**,**,68,324,73,1990,59,958,66,542,76,19733,27,45,**,**,0,0,**,**,0,0,0,0,0,0,52,318,76,5081,76,5336,44,1167,31,452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95350,,"20,938","7,404","11,869","43,015","13,749","891,634","16,977","632,818","7,494","9,652","2,909","10,129","2,569","6,729","2,608","33,844",44,"2,153","6,863","1,892","25,026","4,103","97,023","3,510","29,190","2,683","28,158",88,"1,890","6,222","133,952","4,668","25,265","1,342","1,673","5,480","10,066","6,183","39,181","4,897","49,817","5,123","16,859","15,180","520,783","6,268","6,450",545,492,"3,567","4,075",615,299,"3,625","4,603","5,141","10,343","4,594","9,234",268,"1,461","13,084","78,491","14,282","84,678","3,541","9,875","16,708","42,524"
95350,"$1 under $25,000",9518,1402,4763,16011,4863,119933,7321,83245,1770,1603,679,1415,588,688,1098,8126,21,517,-431,552,3194,1274,11501,1681,12077,383,621,**,**,770,11367,182,308,487,492,582,827,746,1846,491,3855,511,847,4026,23041,1233,424,24,10,476,154,76,25,2341,2693,3906,8212,3597,7440,20,22,3144,2015,4041,3370,844,515,8030,16664
95350,"$25,000 under $50,000",5442,1948,3217,12004,4123,197404,4607,151757,1852,1384,618,1327,534,728,578,5970,**,440,34,477,4227,1042,17902,1001,9674,920,5652,31,250,1455,22178,920,1482,490,552,1242,1837,1450,4289,1153,9451,1109,2356,5198,98548,2305,2083,140,106,1493,1414,181,89,1106,1679,1235,2131,997,1794,**,**,4172,10078,4420,11306,957,1274,4459,11352
95350,"$50,000 under $75,000",2808,1575,1759,6778,2263,171953,2377,129885,1512,1488,528,1574,464,1010,388,4915,**,365,114,321,3847,710,18725,464,4049,577,7637,**,**,1470,26583,1201,3505,243,364,1318,2070,1468,6423,1211,11690,1223,3177,2795,107803,1261,1952,138,141,865,1411,144,77,178,231,0,0,0,0,**,**,2620,13286,2669,14338,703,1586,2099,5720
95350,"$75,000 under $100,000",1479,1086,958,3826,1215,126995,1253,92729,1017,994,387,1219,350,787,204,1569,23,275,649,219,4148,486,17489,214,1963,362,5887,**,**,1017,21202,939,4081,62,114,924,1612,1016,6200,816,8864,898,2670,1477,86770,706,1102,98,89,457,749,105,53,**,**,0,0,0,0,**,**,1467,11761,1470,12272,393,1002,1085,3489
95350,"$100,000 under $200,000",1456,1204,974,3802,1115,189072,1228,130605,1126,2319,536,2601,480,1920,276,6262,**,418,1834,267,6853,512,25766,150,1427,379,6790,32,612,1283,35975,1212,9471,60,151,1205,2712,1281,12846,1063,12990,1172,5215,1454,137209,650,789,123,116,276,347,109,55,0,0,0,0,0,0,68,158,1451,23316,1452,24545,521,2460,930,3979
95350,"$200,000 or more",235,189,198,594,170,86277,191,44597,217,1864,161,1993,153,1596,64,7002,**,138,4663,56,2757,79,5640,**,**,62,1571,25,1028,227,16647,214,6418,**,**,209,1008,222,7577,163,2967,210,2594,230,67412,113,100,22,30,**,**,**,**,0,0,0,0,0,0,180,1281,230,18035,230,18847,123,3038,105,1320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95351,,"15,842","5,160","10,057","40,820","16,643","445,908","14,089","354,789","3,060","2,120",560,"1,082",460,595,"1,697","18,745",0,410,"1,262",412,"5,071","1,509","24,424","3,661","26,285",738,"5,962",0,0,"2,407","46,108","1,746","6,643",561,621,"2,116","3,391","2,401","11,747","2,044","20,582","1,836","4,479","9,066","188,565","4,722","4,649",204,202,"3,488","3,477",270,151,"5,905","8,181","6,282","14,522","5,870","13,008",56,174,"6,409","22,393","7,731","25,683","1,451","3,140","14,098","39,866"
95351,"$1 under $25,000",9633,1684,5629,21220,8098,123459,8333,96254,905,346,146,217,111,91,1101,9358,0,106,-61,149,794,575,4667,2047,12370,112,179,0,0,336,4916,119,107,178,128,271,381,334,715,267,2482,193,317,3194,16164,1184,400,20,7,723,234,49,16,3998,5004,4865,11888,4653,10710,0,0,2208,1304,3247,2755,518,254,8836,22268
95351,"$25,000 under $50,000",3989,1831,2837,12465,5558,140441,3701,117470,951,477,127,123,99,66,310,3925,0,99,53,99,803,428,6267,1051,9556,328,1587,0,0,746,11412,461,662,258,258,628,842,743,2063,618,5604,539,807,3656,55167,2274,2027,64,42,1818,1604,116,68,1705,2916,1417,2634,1217,2298,0,0,2191,4535,2429,5272,408,580,3568,11585
95351,"$50,000 under $75,000",1301,886,934,4332,1911,78099,1212,65593,587,354,115,168,99,103,141,1704,0,72,146,79,930,240,4332,383,2891,158,1891,0,0,606,11178,503,1334,83,127,544,807,605,2562,524,5316,481,963,1297,44155,786,1370,55,52,648,1119,54,35,202,261,0,0,0,0,**,**,1105,4564,1148,4971,241,581,1060,3468
95351,"$75,000 under $100,000",529,429,368,1650,655,45352,489,36568,337,312,81,162,72,80,70,895,0,55,7,37,688,141,4070,121,862,78,1152,0,0,377,7995,341,1445,42,108,343,588,377,2298,331,3490,315,852,529,29887,302,572,34,41,213,401,51,32,**,**,0,0,0,0,**,**,516,3776,518,4001,135,460,394,1286
95351,"$100,000 under $200,000",353,298,260,1050,389,44919,319,33172,249,289,91,412,79,255,75,2863,0,78,1117,48,1856,125,5088,59,606,62,1153,0,0,305,8367,285,2080,**,**,294,638,305,2940,274,3128,273,1146,353,32170,176,280,31,60,86,119,**,**,0,0,0,0,0,0,32,51,352,5356,352,5745,149,1265,217,974
95351,"$200,000 or more",37,32,29,103,32,13638,35,5732,31,342,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,37,2240,37,1015,0,0,36,135,37,1169,30,562,35,394,37,11022,**,**,**,**,0,0,**,**,0,0,0,0,0,0,24,123,37,2858,37,2939,**,**,23,285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95354,,"9,520","2,994","5,460","20,110","6,876","380,120","8,142","280,356","2,868","4,359",942,"3,853",832,"2,651","1,141","15,089",20,758,"2,459",578,"7,343","1,433","28,328","1,846","13,949",850,"8,353",45,888,"2,487","56,946","1,872","10,871",518,634,"2,165","3,950","2,476","16,378","1,991","20,685","1,988","6,043","6,530","214,304","2,721","3,008",223,213,"1,639","1,748",264,125,"2,065","2,615","2,781","5,802","2,547","5,301",124,786,"5,465","33,723","6,000","36,581","1,386","4,262","7,899","20,940"
95354,"$1 under $25,000",4715,650,2448,8573,2877,59175,3861,44099,727,492,219,390,190,208,473,3443,20,180,-190,173,1013,481,4169,919,6022,142,275,**,**,326,5034,107,129,177,171,248,351,320,718,213,1653,220,413,1855,10486,563,181,**,**,278,85,27,10,1399,1640,2150,4712,2008,4363,**,**,1418,938,1814,1559,356,222,4140,9253
95354,"$25,000 under $50,000",2549,907,1498,5977,2208,92072,2289,74637,768,433,198,452,178,259,278,2831,**,149,-19,157,1437,375,5518,572,5218,300,1828,**,**,663,9915,427,672,210,217,569,801,660,1901,544,4509,491,855,2426,44762,1148,1052,79,61,769,722,101,49,602,899,631,1090,539,938,0,0,1865,4458,1983,5040,393,513,2149,5710
95354,"$50,000 under $75,000",1135,620,736,2739,929,69328,1003,55483,589,473,177,459,148,264,165,1911,**,128,432,106,1330,249,5927,208,1424,190,2427,**,**,561,9964,469,1412,78,117,500,761,561,2494,462,4311,451,1091,1129,43775,502,767,53,48,355,567,57,25,64,76,0,0,0,0,**,**,1066,5444,1085,5864,264,564,867,2425
95354,"$75,000 under $100,000",540,348,354,1333,429,46285,472,35148,333,450,109,385,99,203,87,1298,**,84,287,59,958,153,5448,90,773,102,1462,**,**,401,8389,361,1672,53,129,353,655,401,2562,328,3506,338,860,540,31585,245,384,41,36,154,256,32,16,**,**,0,0,0,0,**,**,536,4457,538,4751,158,437,381,1309
95354,"$100,000 under $200,000",463,376,324,1213,367,60879,415,44199,346,429,159,662,140,466,106,3975,**,139,530,63,1441,140,6057,57,512,86,1572,45,888,422,12080,396,3062,**,**,390,836,421,4158,356,4889,379,1404,462,43901,208,283,50,68,83,118,47,25,0,0,0,0,0,0,38,68,462,7486,462,8061,159,940,300,1195
95354,"$200,000 or more",118,93,100,275,66,52381,102,26790,105,2082,80,1505,77,1251,32,1631,**,78,1419,20,1164,35,1209,**,**,30,789,**,**,114,11564,112,3924,0,0,105,546,113,4545,88,1817,109,1420,118,39795,55,341,**,**,0,0,**,**,0,0,0,0,0,0,86,718,118,10940,118,11306,56,1586,62,1048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95355,,"23,571","9,839","13,695","50,714","17,337","1,314,979","19,620","987,169","9,947","11,026","3,525","9,992","3,081","6,434","3,196","54,491",61,"2,763","20,937","2,031","29,123","4,605","104,770","3,847","33,263","2,869","31,047",134,"2,773","9,465","235,669","7,544","48,607","1,664","2,092","8,468","22,418","9,447","77,224","7,839","92,580","7,981","24,626","18,549","816,132","8,120","9,878",625,648,"4,779","6,280","1,056",545,"3,053","3,793","4,358","8,663","3,791","7,498",613,"3,219","16,478","132,162","17,724","141,084","4,529","15,581","18,355","52,289"
95355,"$1 under $25,000",8756,1318,4561,13358,3841,109041,6583,74710,1840,1638,714,1281,605,632,1073,8062,**,552,-256,514,3020,1229,11539,1472,11074,379,614,**,**,815,12922,187,183,520,445,657,1412,803,2238,555,5024,527,873,4023,23088,1149,406,27,12,385,136,55,17,1750,1956,3121,6640,2797,5869,**,**,3231,2042,4120,3432,990,600,7136,13858
95355,"$25,000 under $50,000",5405,1813,3153,11657,4144,197473,4581,152664,1876,1479,574,1317,495,633,644,7154,32,476,164,448,4176,1065,17814,997,9729,909,5545,**,**,1645,27426,992,1765,612,655,1406,2965,1643,5835,1289,11626,1255,2715,5141,98069,2348,2154,123,94,1472,1423,230,121,1051,1521,1237,2023,994,1629,**,**,4129,10010,4423,11479,932,1365,4431,11543
95355,"$50,000 under $75,000",3665,2065,2230,9117,3270,226899,3204,177108,1983,1594,632,1459,552,924,505,6155,**,470,258,399,5448,851,20656,644,5872,685,9170,45,358,2097,41316,1704,4840,346,541,1876,4317,2095,10480,1751,18343,1778,3957,3645,137158,1774,2713,139,127,1268,2026,208,99,212,251,0,0,0,0,**,**,3426,16448,3476,17737,894,2058,2765,8234
